;ShotType;Transition;TwoLegged;Angle;Distance;competition_EURO;competition_NBA;competition_SLO1;competition_U14;playertype_F;playertype_G;movement_dribble or cut;movement_no
3948;1;1;1;62.28;0.67;1;0;0;0;0;0;0;1
3949;0;0;1;48.61;4.78;1;0;0;0;0;0;0;1
3950;0;0;1;0.69;4.46;1;0;0;0;0;0;0;1
3951;0;0;1;72.34;0.84;1;0;0;0;0;0;0;1
3952;0;0;1;74.93;0.78;1;0;0;0;1;0;0;1
3953;2;0;1;74.55;0.56;1;0;0;0;1;0;0;1
3954;5;0;1;74.31;0.95;1;0;0;0;1;0;0;1
3955;3;0;1;9.13;1.35;1;0;0;0;1;0;0;1
3956;0;0;1;68.16;2.14;1;0;0;0;0;1;0;1
3957;0;0;1;89.49;4.55;1;0;0;0;0;1;0;1
3958;5;0;0;27.22;3.98;1;0;0;0;0;1;1;0
3959;5;0;0;58.97;2.06;1;0;0;0;0;1;1;0
3960;0;1;1;22.13;7.25;1;0;0;0;0;1;0;1
3961;0;0;1;32.68;7.34;1;0;0;0;0;1;0;1
3962;1;1;0;71.17;0.79;1;0;0;0;0;1;1;0
3963;1;0;0;29.04;0.66;1;0;0;0;0;1;1;0
3964;0;0;1;66.2;2.63;1;0;0;0;0;1;0;1
3965;1;0;0;7.47;1.24;1;0;0;0;0;1;1;0
3966;0;0;1;3.08;7.97;1;0;0;0;0;1;0;1
3967;5;0;0;51.84;3.2;1;0;0;0;0;1;1;0
3968;1;0;1;86.99;6.92;1;0;0;0;0;1;0;1
3969;1;1;0;72.2;1.01;1;0;0;0;0;1;1;0
3970;0;1;0;29.62;0.54;1;0;0;0;0;1;1;0
3971;0;0;1;87.9;6.97;1;0;0;0;0;1;0;1
3972;0;0;1;89.89;6.96;1;0;0;0;0;1;0;1
3973;0;0;1;60.12;7.11;1;0;0;0;0;1;0;1
3974;0;0;1;54.26;7.26;1;0;0;0;0;1;0;1
3975;5;0;0;24.85;4.08;1;0;0;0;0;1;0;0
3976;5;1;0;45.9;0.52;1;0;0;0;0;1;1;0
3977;5;0;0;78.94;0.49;1;0;0;0;0;1;0;1
3978;0;0;1;44.33;7.28;1;0;0;0;0;1;0;1
3979;0;0;1;22.75;7.34;1;0;0;0;0;1;0;1
3980;0;0;1;42.91;7.55;1;0;0;0;0;1;0;1
3981;5;0;0;27.95;2.06;1;0;0;0;0;1;1;0
3982;5;0;0;29.7;4.76;1;0;0;0;0;1;1;0
3983;0;0;1;42.52;7.21;1;0;0;0;0;1;0;1
3984;0;0;1;60.91;0.86;1;0;0;0;0;0;0;1
3985;0;0;1;33.14;7.25;1;0;0;0;1;0;0;1
3986;3;1;1;22.95;0.69;1;0;0;0;1;0;0;1
3987;2;1;1;37.61;0.53;1;0;0;0;1;0;0;1
3988;0;0;1;87.23;4.18;1;0;0;0;1;0;0;1
3989;3;0;1;79.96;3.32;1;0;0;0;1;0;0;1
3990;5;0;0;53.81;2.26;1;0;0;0;1;0;0;0
3991;0;0;1;1.68;7.31;1;0;0;0;1;0;0;1
