;ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
139;1;1;2;1;0;2;71.09;0.62
140;1;1;1;1;0;2;57.01;0.77
141;1;1;1;0;0;3;29.62;0.54
142;2;1;1;0;1;1;64.78;7.05
143;0;1;1;0;1;1;60.91;7.17
144;0;1;1;0;1;1;41.88;7.14
145;0;1;1;0;1;1;49.65;7.38
146;0;1;1;1;1;1;58.14;1.2
147;2;1;1;1;0;2;70.94;0.45
148;0;1;1;0;1;1;80.97;3.69
149;1;1;1;0;1;1;59.97;0.62
150;2;1;1;0;1;1;22.85;7.17
151;1;1;1;0;0;2;75.89;0.61
152;1;1;1;1;0;2;83.85;0.38
153;0;1;1;0;1;1;24.8;7.28
154;1;1;1;0;0;3;20.31;0.62
155;2;1;1;0;1;1;53.98;7.48
156;0;1;1;0;1;1;7.81;7.49
157;1;1;1;0;0;2;40.97;0.98
158;1;1;1;0;0;2;26.86;0.83
159;0;1;1;0;1;1;30.72;5.56
160;1;1;1;1;0;2;80.91;0.6
161;1;1;1;0;0;2;39.79;0.75
162;0;1;1;0;1;1;69.11;4.64
163;0;1;1;0;1;1;67.16;4.13
164;0;1;1;0;1;1;74.55;0.56
165;0;1;1;0;0;2;23.85;0.93
166;1;1;1;0;0;3;67.28;0.52
167;2;1;2;0;1;1;83.15;1.24
168;1;1;2;0;0;2;52.08;0.68
169;1;1;2;1;0;2;66.54;0.64
170;2;1;2;0;0;2;15.55;2.0
171;0;1;2;0;1;1;33.85;7.31
172;1;1;2;1;0;2;55.84;0.65
173;0;1;2;0;1;1;31.89;4.87
174;0;1;2;0;1;1;26.76;5.47
175;0;1;2;0;1;1;23.19;7.48
176;0;1;2;0;1;1;13.89;7.36
177;2;1;2;0;0;2;32.3;1.7
178;0;1;2;0;1;1;49.11;5.24
179;0;1;2;1;0;1;17.29;2.52
180;2;1;2;0;1;1;3.17;3.87
181;2;1;2;0;1;1;23.89;8.47
182;0;1;2;0;1;1;13.57;7.08
183;0;1;2;0;0;2;9.3;3.31
184;1;1;2;0;1;1;22.03;0.86
185;2;1;2;0;1;1;23.3;7.31
186;0;1;2;0;1;1;20.03;1.88
187;0;1;2;0;0;2;53.57;1.07
188;0;1;2;0;1;1;38.97;2.13
189;0;1;2;0;1;1;25.15;5.04
190;0;1;2;0;0;2;8.46;1.46
191;0;1;2;0;1;1;17.7;5.64
192;0;1;2;0;1;1;9.48;1.95
193;0;1;2;0;1;1;21.28;7.38
194;1;1;2;0;0;2;36.52;0.72
195;0;1;2;0;1;1;24.48;7.5
196;1;1;2;0;0;3;69.83;0.74
197;2;1;2;1;0;2;15.13;1.44
198;0;1;2;0;1;1;21.5;7.16
199;0;1;2;0;1;1;62.05;2.73
200;3;1;2;0;1;1;77.03;0.66
201;2;1;2;0;0;1;5.75;1.07
202;0;1;2;0;1;1;14.78;4.83
203;0;1;2;0;1;1;20.6;7.0
204;0;1;2;0;1;1;26.68;7.28
205;0;1;2;0;0;2;8.12;3.41
206;2;1;2;0;1;1;16.24;8.62
207;0;1;2;0;1;1;63.42;7.07
208;0;1;2;0;0;1;72.93;2.52
209;0;1;2;1;1;1;0.41;7.53
210;0;1;2;0;0;1;83.93;1.4
211;0;1;2;0;1;1;51.94;4.69
212;0;1;2;0;1;1;27.09;4.82
213;0;1;2;1;1;1;86.41;0.64
214;0;1;2;0;1;1;19.83;4.74
215;0;1;2;0;0;1;25.62;1.24
216;0;1;2;0;1;1;31.84;7.21
217;0;1;2;0;1;1;32.07;7.16
218;0;1;2;0;1;1;0.92;3.33
219;0;1;2;0;1;1;0.83;3.7
220;2;1;2;0;0;2;34.35;1.61
221;0;1;2;0;0;2;66.07;2.75
222;0;1;2;0;1;1;45.0;3.71
223;1;1;2;0;0;2;39.39;1.1
224;1;1;2;0;0;2;64.77;0.47
225;3;1;2;0;1;1;36.39;0.45
226;0;1;2;0;0;2;7.81;1.18
227;0;1;2;1;1;1;66.03;0.76
228;1;1;2;1;0;2;59.07;0.81
229;0;1;2;0;0;2;13.66;1.81
230;1;1;2;1;0;2;54.7;0.72
231;0;1;2;0;1;1;5.18;4.15
232;0;1;2;0;1;1;71.17;3.96
233;0;1;2;0;1;1;28.88;4.66
234;2;1;2;0;0;2;21.42;1.03
235;1;1;2;1;0;2;59.07;0.81
236;3;1;2;0;1;1;73.72;2.06
237;0;1;2;0;1;1;45.61;3.6
238;0;1;2;0;1;1;5.56;4.42
239;0;1;2;0;1;1;44.96;5.23
240;0;1;2;0;1;1;29.91;5.26
241;2;1;1;0;1;1;56.82;7.55
242;2;1;1;0;1;1;67.95;6.99
243;1;1;1;0;1;1;59.07;0.81
244;0;1;1;0;1;1;71.61;5.42
245;1;1;1;1;0;3;42.97;0.86
246;1;1;1;0;1;1;72.56;0.67
247;0;1;1;0;1;1;80.54;5.49
248;1;1;1;0;0;2;34.3;0.57
249;0;1;1;0;1;1;80.43;4.13
250;2;1;1;0;1;1;80.22;6.58
251;0;1;1;0;1;1;65.38;5.01
252;0;1;1;0;1;1;26.72;6.31
253;1;1;1;1;0;2;54.7;0.72
254;0;1;1;0;1;1;33.47;5.15
255;0;1;1;0;1;1;33.45;3.98
256;0;1;1;1;1;1;10.2;7.26
257;0;1;1;0;1;1;75.03;4.33
258;0;1;1;0;1;1;16.61;7.12
259;1;1;1;0;0;2;61.7;0.43
260;2;1;1;0;0;2;8.28;9.67
261;2;1;1;0;1;1;82.9;5.99
262;0;1;1;1;1;1;2.72;3.38
263;0;1;1;0;0;2;4.79;1.28
264;0;1;1;1;1;1;9.45;3.59
265;0;1;1;0;0;2;18.55;1.18
266;0;1;1;0;0;1;1.31;4.67
267;2;1;1;0;0;1;17.4;1.79
268;1;1;1;0;1;1;45.76;0.6
269;0;1;1;0;1;1;64.0;3.04
270;1;1;1;0;1;1;45.58;0.75
271;1;1;1;0;1;1;52.08;0.68
272;1;1;1;0;1;1;59.17;0.5
273;2;1;1;0;0;3;47.55;1.82
274;2;1;1;0;0;3;5.6;2.75
275;3;1;1;0;1;1;13.48;1.15
276;0;1;1;1;1;1;61.2;0.98
277;1;1;1;0;1;1;45.58;0.75
278;1;1;1;0;1;1;62.44;0.79
279;0;1;1;0;1;1;36.54;7.29
280;1;1;1;0;1;1;50.76;0.83
281;1;1;1;1;1;1;38.52;0.95
282;0;1;1;1;1;1;48.67;1.85
283;1;1;3;0;1;1;62.65;1.03
284;0;1;3;1;1;1;22.55;1.68
285;1;1;3;0;1;1;71.09;0.62
286;3;1;3;1;1;1;17.18;1.45
287;1;1;3;1;1;1;3.04;1.01
288;0;1;3;0;1;1;15.1;0.82
289;1;1;3;1;0;2;17.33;0.72
290;3;1;3;1;1;1;23.62;1.34
291;1;1;3;0;0;2;55.84;0.65
292;0;1;3;0;1;1;16.34;1.33
293;1;1;3;1;0;2;80.91;0.6
294;0;1;3;1;0;1;57.01;0.77
295;1;1;3;1;0;2;45.61;3.6
296;0;1;3;0;1;1;57.86;0.89
297;1;1;3;1;1;1;65.66;0.88
298;1;1;3;1;0;2;62.44;0.79
299;0;1;3;1;1;1;75.89;0.83
300;0;1;1;0;1;1;2.05;7.48
301;0;1;1;0;1;1;47.32;7.29
302;3;1;1;0;1;1;58.61;1.32
303;0;1;1;0;0;2;53.68;1.8
304;0;1;1;0;1;1;51.69;7.1
305;0;1;1;0;1;1;82.52;4.86
306;0;1;1;0;1;1;63.18;4.86
307;2;1;1;0;1;1;26.53;4.44
308;1;1;1;0;0;3;68.45;0.4
309;1;1;1;1;0;2;62.05;0.55
310;0;1;1;0;1;1;76.31;3.58
311;0;1;1;0;1;1;58.46;4.4
312;1;1;1;0;0;2;59.07;0.81
313;1;1;1;1;0;2;42.97;0.86
314;1;1;2;0;0;2;60.52;0.74
315;0;1;2;0;1;1;23.06;3.15
316;0;1;2;0;0;1;66.26;1.17
317;1;1;2;1;0;2;54.7;0.72
318;0;1;2;0;1;1;48.19;6.04
319;0;1;2;0;1;1;39.79;3.77
320;0;1;2;0;1;1;0.0;4.78
321;0;1;2;0;1;1;76.16;5.57
322;0;1;2;0;1;1;47.98;5.05
323;2;1;2;1;0;2;40.74;4.1
324;0;1;2;0;1;1;10.7;4.04
325;0;1;2;0;1;1;87.88;6.92
326;1;1;2;0;0;2;45.46;0.9
327;3;1;2;0;1;1;14.18;0.87
328;0;1;2;0;1;1;7.11;3.89
329;1;1;2;1;0;2;59.97;0.62
330;0;1;2;0;1;1;4.14;3.71
331;1;1;2;0;0;2;64.48;0.59
332;2;1;2;0;0;1;32.14;1.51
333;0;1;2;0;1;1;52.74;7.27
334;0;1;2;0;1;1;13.31;6.52
335;2;1;2;0;0;3;64.48;0.59
336;2;1;2;1;0;1;27.18;0.47
337;0;1;2;0;0;1;14.14;1.1
338;0;1;2;0;0;1;51.36;0.75
339;1;1;2;0;1;1;68.3;0.69
340;0;1;2;1;0;1;54.7;0.72
341;0;1;2;0;1;1;26.12;7.3
342;0;1;2;0;1;1;51.99;7.41
343;1;1;2;1;0;2;78.94;0.49
344;1;1;2;0;0;3;55.7;0.45
345;2;1;2;0;0;2;75.28;1.22
346;0;1;2;0;1;1;1.06;2.89
347;0;1;2;0;1;1;33.16;5.39
348;2;1;2;0;0;2;10.1;0.92
349;2;1;2;0;0;2;60.04;1.05
350;0;1;2;0;1;1;82.23;1.89
351;2;1;2;0;0;1;16.14;0.77
352;2;1;2;1;0;2;42.29;0.64
353;1;1;2;1;1;1;66.54;0.64
354;1;1;2;1;0;2;62.05;0.55
355;1;1;2;0;1;1;62.28;0.67
356;0;1;2;0;0;1;48.67;0.71
357;0;1;2;0;1;1;7.63;7.27
358;0;1;2;0;1;1;20.7;7.12
359;1;1;2;1;0;2;76.6;3.19
360;2;1;2;0;0;3;66.54;0.64
361;2;1;2;0;1;1;75.16;7.09
362;2;1;2;1;0;2;64.28;0.71
363;2;1;2;0;1;1;14.61;7.22
364;0;1;2;0;1;1;5.61;7.13
365;0;1;2;0;1;1;33.07;0.88
366;0;1;2;0;1;1;16.75;1.67
367;2;1;2;0;1;1;61.26;7.03
368;0;1;2;0;1;1;43.36;1.09
369;0;1;2;0;1;1;6.89;7.15
370;1;1;2;1;1;1;46.07;0.45
371;1;1;2;0;0;2;57.01;0.77
372;2;1;2;0;1;1;6.03;7.13
373;1;1;2;0;0;2;71.09;0.62
374;1;1;2;0;1;1;61.2;0.98
375;0;1;2;0;1;1;50.89;7.32
376;0;1;2;0;1;1;19.6;7.19
377;0;1;2;0;1;1;61.5;7.19
378;0;1;2;0;1;1;67.64;5.91
379;2;1;2;1;0;1;70.94;0.45
380;1;1;2;0;1;1;15.52;0.6
381;0;1;2;0;1;1;52.46;5.81
382;0;1;2;0;1;1;18.53;1.35
383;2;1;2;0;1;1;27.74;8.75
384;1;1;2;0;0;2;58.33;0.69
385;0;1;2;0;1;1;29.77;5.07
386;1;1;2;0;0;2;52.99;0.6
387;2;1;2;0;0;3;66.54;0.64
388;0;1;2;0;1;1;65.66;0.88
389;0;1;2;0;1;1;46.86;7.86
390;1;1;2;1;0;2;62.44;0.79
391;0;1;2;0;1;1;35.8;7.42
392;0;1;2;0;1;1;50.2;1.32
393;0;1;2;0;1;1;25.16;7.18
394;1;1;2;0;1;1;37.61;0.53
395;0;1;2;0;1;1;51.76;7.03
396;0;1;2;0;1;1;47.75;0.94
397;1;1;2;1;0;2;59.97;0.62
398;0;1;2;0;1;1;64.69;4.5
399;0;1;2;0;1;1;17.97;7.12
400;0;1;2;0;1;1;30.73;6.19
401;2;1;2;1;0;2;29.91;1.29
402;1;1;2;0;1;1;62.65;1.03
403;0;1;2;0;1;1;6.79;7.25
404;0;1;2;0;1;1;86.1;6.93
405;0;1;2;0;1;1;13.34;2.09
406;1;1;2;0;0;2;66.54;0.64
407;1;1;2;1;0;2;55.84;0.65
408;1;1;2;0;1;1;62.05;0.55
409;0;1;2;0;1;1;10.08;7.04
410;1;1;2;1;0;2;67.57;0.81
411;0;1;2;0;1;1;55.17;7.05
412;1;1;2;0;0;2;66.54;0.64
413;1;1;2;0;0;2;54.15;0.53
414;0;1;2;0;0;2;4.31;2.85
415;2;1;2;0;0;2;29.62;0.54
416;0;1;2;0;1;1;25.98;2.2
417;0;1;2;1;0;2;16.82;1.11
418;0;1;2;0;1;1;35.76;7.15
419;0;1;2;1;1;1;72.93;0.5
420;0;1;2;0;1;1;60.1;3.21
421;1;1;2;0;0;2;49.7;0.56
422;0;1;2;0;1;1;41.27;7.15
423;0;1;2;0;1;1;66.54;0.64
424;1;1;2;1;0;2;22.73;0.28
425;1;1;3;0;0;3;62.44;0.79
426;1;1;3;1;0;2;75.89;0.61
427;0;1;3;1;0;1;74.93;0.78
428;2;1;3;0;1;1;88.8;4.5
429;0;1;3;0;1;1;83.3;4.96
430;1;1;3;0;1;1;66.03;0.76
431;0;1;3;0;1;1;68.3;0.69
432;1;1;3;0;0;3;29.62;0.54
433;1;1;3;0;1;1;66.03;0.76
434;1;1;3;0;0;2;74.93;0.78
435;0;1;3;0;0;1;70.14;0.91
436;0;1;3;0;1;1;69.83;0.74
437;0;1;3;0;1;1;47.95;7.21
438;3;1;3;0;0;1;21.22;1.78
439;0;1;3;0;1;1;40.97;0.98
440;3;1;3;0;1;1;51.78;1.02
441;0;1;3;0;0;1;70.5;1.25
442;1;1;3;0;0;3;59.07;0.81
443;0;1;3;0;0;1;64.28;0.71
444;0;1;3;0;0;1;49.18;1.13
445;1;1;3;1;1;1;69.35;0.57
446;1;1;3;0;1;1;70.14;0.91
447;1;1;3;1;0;2;72.93;0.5
448;3;1;3;0;1;1;70.78;1.76
449;1;1;3;0;0;3;62.05;0.55
450;0;1;3;0;1;1;67.54;1.8
451;0;1;3;0;1;1;47.75;0.94
452;0;1;3;0;0;2;55.35;1.3
453;0;1;3;0;1;1;6.49;0.47
454;1;1;3;0;1;1;59.62;0.93
455;1;1;3;0;1;1;39.23;0.68
456;1;1;3;0;1;1;62.05;0.55
457;1;1;3;0;1;1;50.76;0.83
458;1;1;3;1;0;2;69.35;0.57
459;0;1;3;0;0;1;16.54;0.94
460;2;1;3;0;1;1;61.55;5.85
461;0;1;3;0;1;1;21.87;1.73
462;0;1;3;0;0;2;19.42;1.13
463;2;1;2;0;1;1;28.78;7.23
464;0;1;2;0;1;1;60.04;1.05
465;1;1;2;0;0;2;59.97;0.62
466;1;1;2;0;0;2;86.08;0.59
467;1;1;2;1;0;2;38.52;0.95
468;0;1;2;1;1;1;71.77;2.54
469;2;1;2;0;1;1;5.37;5.72
470;1;1;2;0;0;2;73.83;0.73
471;0;1;2;0;1;1;72.99;6.95
472;2;1;2;0;1;1;87.88;6.92
473;1;1;2;0;0;2;69.83;0.74
474;2;1;2;0;1;1;69.89;2.0
475;2;1;2;0;1;1;34.46;7.1
476;2;1;2;0;1;1;25.93;7.35
477;2;1;2;0;1;1;69.28;5.44
478;1;1;2;0;0;2;56.84;0.96
479;3;1;2;0;1;1;18.71;0.67
480;0;1;2;0;1;1;53.34;7.01
481;1;1;2;0;0;2;37.97;0.87
482;1;1;2;1;0;2;77.03;0.66
483;1;1;2;0;0;2;62.56;0.91
484;0;1;2;0;1;1;42.28;7.41
485;0;1;2;0;1;1;88.02;4.29
486;2;1;2;0;1;1;42.91;7.55
487;1;1;2;0;1;1;45.76;0.6
488;0;1;3;0;0;1;53.57;1.07
489;1;1;3;1;0;2;48.0;0.87
490;0;1;3;0;1;1;25.75;1.48
491;0;1;3;0;1;1;72.93;0.5
492;0;1;1;0;1;1;32.56;8.16
493;0;1;1;0;1;1;44.93;7.28
494;0;1;1;0;0;2;4.77;1.93
495;1;1;1;0;0;3;55.97;1.03
496;0;1;1;0;1;1;86.52;6.87
497;0;1;1;0;1;1;25.8;1.6
498;0;1;1;0;1;1;32.05;7.67
499;0;1;1;0;1;1;10.46;7.38
500;0;1;1;0;1;1;69.83;0.74
501;1;1;1;1;1;1;30.52;0.42
502;0;1;1;0;1;1;49.6;7.46
503;0;1;1;0;1;1;33.15;7.44
504;0;1;1;0;1;1;10.79;7.44
505;3;1;1;0;1;1;11.44;0.81
506;0;1;1;0;1;1;60.87;7.05
507;2;1;1;0;1;1;29.31;7.33
508;2;1;1;0;0;3;59.97;0.62
509;2;1;1;0;1;1;78.91;7.21
510;0;1;1;0;1;1;17.33;0.72
511;0;1;1;0;1;1;13.68;7.25
512;0;1;1;0;1;1;28.03;7.18
513;0;1;1;0;1;1;37.93;2.44
514;0;1;1;0;0;1;5.23;1.18
515;2;1;1;1;0;2;55.84;0.65
516;0;1;1;0;1;1;58.78;7.14
517;0;1;1;0;1;1;28.31;7.57
518;0;1;1;0;1;1;33.38;7.21
519;0;1;1;0;0;2;59.42;2.3
520;0;1;1;0;0;1;60.04;1.05
521;1;1;1;1;0;2;42.56;0.71
522;2;1;1;0;0;2;11.61;2.13
523;1;1;1;0;0;2;3.4;0.9
524;0;1;1;0;1;1;49.11;7.3
525;2;1;1;0;1;1;22.53;5.17
526;2;1;1;0;0;2;14.86;1.88
527;1;1;1;1;0;2;69.35;0.57
528;0;1;1;0;1;1;3.38;7.27
529;2;1;1;0;1;1;27.81;1.26
530;1;1;1;1;0;2;38.52;0.6
531;0;1;1;1;1;1;0.0;0.42
532;0;1;1;0;1;1;68.45;3.63
533;1;1;1;0;0;2;19.89;0.79
534;1;1;1;0;1;1;45.9;0.52
535;1;1;1;0;1;1;59.17;0.5
536;1;1;1;1;0;2;67.28;0.52
537;0;1;1;0;1;1;29.62;7.48
538;1;1;1;0;1;1;61.07;0.31
539;0;1;1;0;1;1;29.32;6.35
540;0;1;1;0;0;2;24.08;2.76
541;0;1;1;0;1;1;21.9;7.18
542;1;1;1;0;0;2;52.99;0.6
543;0;1;1;0;1;1;83.88;4.42
544;1;1;1;0;0;2;36.39;0.45
545;0;1;1;0;1;1;83.46;5.55
546;0;1;1;0;0;2;19.28;1.3
547;1;1;1;0;1;1;54.7;0.72
548;0;1;1;0;1;1;69.35;6.98
549;1;1;2;1;0;2;68.45;0.4
550;1;1;2;0;0;2;58.33;0.69
551;2;1;2;0;1;1;66.34;4.8
552;1;1;2;1;0;2;58.33;0.69
553;0;1;2;0;1;1;27.65;7.16
554;0;1;2;0;1;1;30.37;7.1
555;0;1;2;0;1;1;85.82;4.24
556;0;1;2;0;1;1;35.31;7.04
557;1;1;2;1;0;2;67.28;0.52
558;0;1;2;0;1;1;11.85;7.3
559;0;1;2;0;1;1;8.35;7.01
560;0;1;2;0;1;1;6.98;2.64
561;0;1;2;0;1;1;38.79;7.1
562;1;1;2;0;1;1;68.93;0.86
563;0;1;2;0;0;1;0.0;2.03
564;0;1;2;0;1;1;11.19;7.18
565;0;1;2;0;1;1;38.14;7.72
566;0;1;2;0;1;1;46.78;7.06
567;0;1;2;0;1;1;13.99;7.09
568;0;1;2;0;1;1;18.93;7.1
569;0;1;2;0;1;1;31.09;5.71
570;1;1;2;0;0;2;21.06;0.45
571;1;1;2;1;0;2;59.97;0.62
572;0;1;2;0;1;1;10.93;7.06
573;0;1;2;0;1;1;43.62;1.32
574;0;1;2;0;1;1;14.1;7.04
575;0;1;2;0;1;1;30.38;6.04
576;0;1;2;0;1;1;22.96;7.0
577;0;1;2;1;1;1;52.99;7.04
578;1;1;2;0;0;3;74.55;0.56
579;0;1;2;0;1;1;46.43;7.25
580;2;1;2;0;1;1;12.86;7.22
581;0;1;2;1;1;1;25.24;5.4
582;0;1;2;0;1;1;61.47;3.35
583;0;1;2;0;1;1;54.11;7.14
584;0;1;2;1;0;1;4.52;2.04
585;2;1;2;0;1;1;3.83;7.22
586;2;1;2;0;1;1;80.76;4.61
587;2;1;2;0;1;1;50.49;6.67
588;2;1;2;0;0;2;50.76;0.83
589;1;1;3;0;1;1;66.03;0.76
590;0;1;3;0;1;1;60.91;0.86
591;1;1;3;0;1;1;23.85;0.4
592;2;1;3;0;0;3;64.14;0.83
593;1;1;3;0;1;1;0.0;0.69
594;2;1;3;0;0;3;21.42;1.03
595;0;1;3;0;1;1;75.57;2.32
596;0;1;3;0;1;1;66.81;2.56
597;1;1;3;0;0;2;69.35;0.57
598;0;1;3;0;1;1;2.46;5.0
599;0;1;3;1;1;1;58.33;0.69
600;0;1;3;0;1;1;1.69;1.82
601;1;1;3;1;0;2;44.04;2.0
602;1;1;3;0;0;2;67.02;0.93
603;1;1;3;1;1;1;26.93;0.71
604;2;1;3;1;0;2;64.14;0.83
605;1;1;3;0;0;2;62.28;0.67
606;0;1;3;0;1;1;11.39;1.08
607;1;1;3;1;0;2;77.03;0.66
608;0;1;3;0;1;1;65.54;4.65
609;2;1;3;1;1;1;86.59;5.21
610;1;1;3;1;0;2;7.32;0.42
611;2;1;3;0;0;3;57.01;0.77
612;1;1;3;1;0;2;54.23;0.99
613;1;1;3;0;0;2;55.84;0.65
614;0;1;3;1;0;1;55.84;0.65
615;0;1;3;0;0;1;66.54;0.64
616;0;1;3;0;0;1;64.28;0.71
617;0;1;1;0;0;1;49.12;0.64
618;1;1;1;0;0;3;62.56;0.91
619;0;1;1;0;0;2;35.46;1.57
620;0;1;1;0;1;1;76.6;3.19
621;0;1;1;0;1;1;53.81;2.99
622;0;1;1;0;1;1;53.25;7.09
623;0;1;1;0;0;1;37.13;4.17
624;0;1;1;0;1;1;63.84;1.31
625;0;1;1;0;1;1;45.82;5.08
626;0;1;1;0;0;1;54.29;2.38
627;0;1;1;0;0;1;44.04;2.0
628;0;1;1;0;1;1;71.79;2.37
629;3;1;1;0;1;1;9.55;0.97
630;3;1;1;0;1;1;0.0;1.49
631;0;1;1;0;0;2;32.3;1.7
